"","Genus","Obs_Per","Sample","Kit","Type"
"159","Paenibacillus",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"160","Pediococcus",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"161","Anaerostipes",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"162","Bacteroides",0.18,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"163","Bifidobacterium",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"164","Collinsella",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"165","Enterococcus",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"166","Escherichia-Shigella",NA,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"167","Lachnoclostridium",NA,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"168","Parabacteroides",0.005,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"169","Propionibacterium",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"170","Ralstonia",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"171","Fusobacterium",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"172","Subdoligranulum",NA,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"173","Pyramidobacter",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"174","Bilophila",0.0010866271719483,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"175","Alistipes",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"176","Coprobacillus",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"177","Lactobacillus",0.000334346822137939,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"178","Paenibacillus",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"179","Pediococcus",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"180","Anaerostipes",0.00193294256548496,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"181","Bacteroides",0.286451639866679,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"182","Bifidobacterium",0,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"183","Collinsella",0.000114931720109917,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"184","Enterococcus",0.000114931720109917,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
"185","Escherichia-Shigella",NA,"SC304926.PC07578.E06","Zymo MagBead DNone Kit","Art.Col"
