"","Genus","value","Type"
"283","Listeria","NA","PC04924-MSA1002_Diff"
"284","Neisseria","-40.4493904769995","PC04924-MSA1002_Diff"
"285","Paenibacillus","NA","PC04924-MSA1002_Diff"
"286","Parabacteroides","NA","PC04924-MSA1002_Diff"
"287","Pediococcus","NA","PC04924-MSA1002_Diff"
"288","Porphyromonadaceae",NA,"PC04924-MSA1002_Diff"
"289","Propionibacterium","-100","PC04924-MSA1002_Diff"
"290","Pseudomonas","-100","PC04924-MSA1002_Diff"
"291","Pyramidobacter","NA","PC04924-MSA1002_Diff"
"292","Ralstonia","NA","PC04924-MSA1002_Diff"
"293","Rhodobacter",NA,"PC04924-MSA1002_Diff"
"294","Saccharomyces","NA","PC04924-MSA1002_Diff"
"295","Salmonella","NA","PC04924-MSA1002_Diff"
"296","Streptococcus","-60.4340993076498","PC04924-MSA1002_Diff"
"297","Subdoligranulum","NA","PC04924-MSA1002_Diff"
"298","Abiotrophia","NA","PC04924-MSA1002_Diff"
"299","Acetanaerobacterium","NA","PC04924-MSA1002_Diff"
"300","Acidaminococcus","NA","PC04924-MSA1002_Diff"
"301","Actinobacillus","NA","PC04924-MSA1002_Diff"
"302","Adlercreutzia","NA","PC04924-MSA1002_Diff"
"303","Akkermansia","NA","PC04924-MSA1002_Diff"
"304","Alcaligenes","NA","PC04924-MSA1002_Diff"
"305","Alkanindiges","NA","PC04924-MSA1002_Diff"
"306","Alloprevotella","NA","PC04924-MSA1002_Diff"
"307","Anaerococcus","NA","PC04924-MSA1002_Diff"
"308","Anaerofilum","NA","PC04924-MSA1002_Diff"
"309","Anaerofustis","NA","PC04924-MSA1002_Diff"
"310","Anaeromyxobacter","NA","PC04924-MSA1002_Diff"
"311","Anaerosporobacter","NA","PC04924-MSA1002_Diff"
"312","Anaerotruncus","NA","PC04924-MSA1002_Diff"
"313","Arthrobacter","NA","PC04924-MSA1002_Diff"
"314","Atopobium","NA","PC04924-MSA1002_Diff"
"315","Azospirillum","NA","PC04924-MSA1002_Diff"
"316","Basidiomycota","NA","PC04924-MSA1002_Diff"
"317","Bergeyella","NA","PC04924-MSA1002_Diff"
"318","Blautia","NA","PC04924-MSA1002_Diff"
"319","Bradyrhizobium","NA","PC04924-MSA1002_Diff"
"320","Brevundimonas","NA","PC04924-MSA1002_Diff"
"321","Bryobacter","NA","PC04924-MSA1002_Diff"
"322","Butyricimonas","NA","PC04924-MSA1002_Diff"
"323","Campylobacter","NA","PC04924-MSA1002_Diff"
"324","Candidatus Planktophila","NA","PC04924-MSA1002_Diff"
"325","Capnocytophaga","NA","PC04924-MSA1002_Diff"
"326","Christensenella","NA","PC04924-MSA1002_Diff"
"327","Clostridium sensu stricto 1","NA","PC04924-MSA1002_Diff"
"328","Coprococcus","NA","PC04924-MSA1002_Diff"
"329","Corynebacterium","NA","PC04924-MSA1002_Diff"
"330","Desulfovibrio","NA","PC04924-MSA1002_Diff"
"331","Devosia","NA","PC04924-MSA1002_Diff"
"332","Dialister","NA","PC04924-MSA1002_Diff"
"333","Dolosigranulum","NA","PC04924-MSA1002_Diff"
"334","Dorea","NA","PC04924-MSA1002_Diff"
"335","Eggerthella","NA","PC04924-MSA1002_Diff"
"336","Eggerthia","NA","PC04924-MSA1002_Diff"
"337","Enterorhabdus","NA","PC04924-MSA1002_Diff"
"338","Faecalibacterium","NA","PC04924-MSA1002_Diff"
"339","Finegoldia","NA","PC04924-MSA1002_Diff"
"340","Flavonifractor","NA","PC04924-MSA1002_Diff"
"341","Gemella","NA","PC04924-MSA1002_Diff"
"342","Gordonibacter","NA","PC04924-MSA1002_Diff"
"343","Granulicatella","NA","PC04924-MSA1002_Diff"
"344","Haemophilus","NA","PC04924-MSA1002_Diff"
"345","Holdemania","NA","PC04924-MSA1002_Diff"
"346","Incertae Sedis","NA","PC04924-MSA1002_Diff"
"347","Intestinimonas","NA","PC04924-MSA1002_Diff"
"348","Lachnoanaerobaculum","NA","PC04924-MSA1002_Diff"
"349","Lachnospira","NA","PC04924-MSA1002_Diff"
"350","Lactococcus","NA","PC04924-MSA1002_Diff"
"351","Lautropia","NA","PC04924-MSA1002_Diff"
"352","Leptotrichia","NA","PC04924-MSA1002_Diff"
"353","Leuconostoc","NA","PC04924-MSA1002_Diff"
"354","Lysobacter","NA","PC04924-MSA1002_Diff"
"355","Marvinbryantia","NA","PC04924-MSA1002_Diff"
"356","Massilia","NA","PC04924-MSA1002_Diff"
"357","Megasphaera","NA","PC04924-MSA1002_Diff"
"358","Methylobacterium","NA","PC04924-MSA1002_Diff"
"359","Mogibacterium","NA","PC04924-MSA1002_Diff"
"360","Moraxella","NA","PC04924-MSA1002_Diff"
"361","Mycobacterium","NA","PC04924-MSA1002_Diff"
"362","Nevskia","NA","PC04924-MSA1002_Diff"
"363","Nocardioides","NA","PC04924-MSA1002_Diff"
"364","Nosocomiicoccus","NA","PC04924-MSA1002_Diff"
"365","Odoribacter","NA","PC04924-MSA1002_Diff"
"366","Oribacterium","NA","PC04924-MSA1002_Diff"
"367","Oscillibacter","NA","PC04924-MSA1002_Diff"
"368","Oscillospira","NA","PC04924-MSA1002_Diff"
"369","other","NA","PC04924-MSA1002_Diff"
"370","Papillibacter","NA","PC04924-MSA1002_Diff"
"371","Paracoccus","NA","PC04924-MSA1002_Diff"
"372","Parasutterella","NA","PC04924-MSA1002_Diff"
"373","Pedobacter","NA","PC04924-MSA1002_Diff"
"374","Peptoniphilus","NA","PC04924-MSA1002_Diff"
"375","Phascolarctobacterium","NA","PC04924-MSA1002_Diff"
"376","Phenylobacterium","NA","PC04924-MSA1002_Diff"
"377","Porphyromonas","NA","PC04924-MSA1002_Diff"
"378","Prevotella","NA","PC04924-MSA1002_Diff"
"379","Pseudobutyrivibrio","NA","PC04924-MSA1002_Diff"
"380","Rhizobium","NA","PC04924-MSA1002_Diff"
"381","Roseburia","NA","PC04924-MSA1002_Diff"
"382","Rothia","NA","PC04924-MSA1002_Diff"
"383","Rubellimicrobium","NA","PC04924-MSA1002_Diff"
"384","Ruminococcus","NA","PC04924-MSA1002_Diff"
"385","Salinarimonas","NA","PC04924-MSA1002_Diff"
"386","Scardovia","NA","PC04924-MSA1002_Diff"
"387","Sediminibacterium","NA","PC04924-MSA1002_Diff"
"388","Solobacterium","NA","PC04924-MSA1002_Diff"
"389","Sphingomonas","NA","PC04924-MSA1002_Diff"
"390","Stomatobaculum","NA","PC04924-MSA1002_Diff"
"391","Succiniclasticum","NA","PC04924-MSA1002_Diff"
"392","Sutterella","NA","PC04924-MSA1002_Diff"
"393","Synergistes","NA","PC04924-MSA1002_Diff"
"394","Thalassospira","NA","PC04924-MSA1002_Diff"
"395","Treponema","NA","PC04924-MSA1002_Diff"
"396","Turicibacter","NA","PC04924-MSA1002_Diff"
"397","uncultured","NA","PC04924-MSA1002_Diff"
"398","Veillonella","NA","PC04924-MSA1002_Diff"
"399","Weissella","NA","PC04924-MSA1002_Diff"
"400","Acinetobacter","112.095075152355","PC04924-MSA1003_Diff"
"401","Actinomyces","-100","PC04924-MSA1003_Diff"
"402","Alistipes","NA","PC04924-MSA1003_Diff"
"403","Anaerostipes","NA","PC04924-MSA1003_Diff"
"404","Bacteroides","126.234746829179","PC04924-MSA1003_Diff"
"405","Bifidobacterium","-100","PC04924-MSA1003_Diff"
"406","Bilophila","NA","PC04924-MSA1003_Diff"
"407","Clostridium",NA,"PC04924-MSA1003_Diff"
"408","Lachnoclostridium","NA","PC04924-MSA1003_Diff"
"409","Collinsella","NA","PC04924-MSA1003_Diff"
"410","Coprobacillus","NA","PC04924-MSA1003_Diff"
"411","Cryptococcus","NA","PC04924-MSA1003_Diff"
"412","Deinococcus","-85.8603283231763","PC04924-MSA1003_Diff"
"413","Enterococcus","175.723597698061","PC04924-MSA1003_Diff"
"414","Fusobacterium","NA","PC04924-MSA1003_Diff"
"415","Helicobacter","-39.5136267158099","PC04924-MSA1003_Diff"
"416","Listeria","NA","PC04924-MSA1003_Diff"
"417","Neisseria","-41.8702386619472","PC04924-MSA1003_Diff"
"418","Paenibacillus","NA","PC04924-MSA1003_Diff"
"419","Parabacteroides","NA","PC04924-MSA1003_Diff"
"420","Pediococcus","NA","PC04924-MSA1003_Diff"
"421","Porphyromonadaceae",NA,"PC04924-MSA1003_Diff"
