,Genus,value,Type
169,Salmonella,NA,PC04924-MSA1001_Diff
170,Staphylococcus,22.23778424,PC04924-MSA1001_Diff
171,Streptococcus,NA,PC04924-MSA1001_Diff
172,Subdoligranulum,NA,PC04924-MSA1001_Diff
173,Abiotrophia,NA,PC04924-MSA1001_Diff
174,Acetanaerobacterium,NA,PC04924-MSA1001_Diff
175,Acidaminococcus,NA,PC04924-MSA1001_Diff
176,Actinobacillus,NA,PC04924-MSA1001_Diff
177,Adlercreutzia,NA,PC04924-MSA1001_Diff
178,Akkermansia,NA,PC04924-MSA1001_Diff
179,Alcaligenes,NA,PC04924-MSA1001_Diff
180,Alkanindiges,NA,PC04924-MSA1001_Diff
181,Alloprevotella,NA,PC04924-MSA1001_Diff
182,Anaerococcus,NA,PC04924-MSA1001_Diff
183,Anaerofilum,NA,PC04924-MSA1001_Diff
184,Anaerofustis,NA,PC04924-MSA1001_Diff
185,Anaeromyxobacter,NA,PC04924-MSA1001_Diff
186,Anaerosporobacter,NA,PC04924-MSA1001_Diff
187,Anaerotruncus,NA,PC04924-MSA1001_Diff
188,Arthrobacter,NA,PC04924-MSA1001_Diff
189,Atopobium,NA,PC04924-MSA1001_Diff
190,Azospirillum,NA,PC04924-MSA1001_Diff
191,Basidiomycota,NA,PC04924-MSA1001_Diff
192,Bergeyella,NA,PC04924-MSA1001_Diff
193,Blautia,NA,PC04924-MSA1001_Diff
194,Bradyrhizobium,NA,PC04924-MSA1001_Diff
195,Brevundimonas,NA,PC04924-MSA1001_Diff
196,Bryobacter,NA,PC04924-MSA1001_Diff
197,Butyricimonas,NA,PC04924-MSA1001_Diff
198,Campylobacter,NA,PC04924-MSA1001_Diff
199,Candidatus Planktophila,NA,PC04924-MSA1001_Diff
200,Capnocytophaga,NA,PC04924-MSA1001_Diff
201,Christensenella,NA,PC04924-MSA1001_Diff
202,Clostridium sensu stricto 1,NA,PC04924-MSA1001_Diff
203,Coprococcus,NA,PC04924-MSA1001_Diff
204,Corynebacterium,NA,PC04924-MSA1001_Diff
205,Desulfovibrio,NA,PC04924-MSA1001_Diff
206,Devosia,NA,PC04924-MSA1001_Diff
