StudyID	SampleID	Plate	Row	Column	Type	Method	Kit	SeqName	Robots	Batch	Residual
SC249441.PC04924.B09	SC249441	PC04924	B	9	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249445.PC04924.E09	SC249445	PC04924	E	9	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249430.PC04924.H07	SC249430	PC04924	H	7	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249448.PC04924.H09	SC249448	PC04924	H	9	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249449.PC04924.A10	SC249449	PC04924	A	10	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249440.PC04924.A09	SC249440	PC04924	A	9	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249453.PC04924.E10	SC249453	PC04924	E	10	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249435.PC04924.D08	SC249435	PC04924	D	8	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249435.PC04925.D04	SC249435	PC04925	D	4	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249441.PC04925.H04	SC249441	PC04925	H	4	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC261531.PC04925.G11	SC261531	PC04925	G	11	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Residual
SC249430.PC04925.H03	SC249430	PC04925	H	3	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249453.PC04925.F05	SC249453	PC04925	F	5	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249448.PC04925.A11	SC249448	PC04925	A	11	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249445.PC04925.B05	SC249445	PC04925	B	5	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249448.PC04925.D05	SC249448	PC04925	D	5	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC261532.PC04925.D11	SC261532	PC04925	D	11	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Residual
SC249449.PC04925.E05	SC249449	PC04925	E	5	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249440.PC04925.G04	SC249440	PC04925	G	4	Study	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249432.PC04924.A08	SC249432	PC04924	A	8	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249442.PC04924.C09	SC249442	PC04924	C	9	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249451.PC04924.C10	SC249451	PC04924	C	10	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249437.PC04924.F08	SC249437	PC04924	F	8	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249432.PC04925.B04	SC249432	PC04925	B	4	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249437.PC04925.F04	SC249437	PC04925	F	4	ZymoC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249427.PC04924.E07	SC249427	PC04924	E	7	AC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249413.PC04924.H05	SC249413	PC04924	H	5	AC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249409.PC04924.D05	SC249409	PC04924	D	5	AC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249428.PC04924.F07	SC249428	PC04924	F	7	AC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249415.PC04924.B06	SC249415	PC04924	B	6	EB	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC261525.PC04925.D10	SC261525	PC04925	D	10	EB	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Residual
SC249422.PC04925.D03	SC249422	PC04925	D	3	EB	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249406.PC04925.D02	SC249406	PC04925	D	2	EB	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249417.PC04924.D06	SC249417	PC04924	D	6	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249410.PC04924.E05	SC249410	PC04924	E	5	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249421.PC04924.H06	SC249421	PC04924	H	6	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249426.PC04924.D07	SC249426	PC04924	D	7	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249426.PC04925.F03	SC249426	PC04925	F	3	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC261528.PC04925.E10	SC261528	PC04925	E	10	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Residual
SC249410.PC04925.F02	SC249410	PC04925	F	2	RG	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249429.PC04924.G07	SC249429	PC04924	G	7	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249414.PC04924.A06	SC249414	PC04924	A	6	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249418.PC04924.E06	SC249418	PC04924	E	6	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249411.PC04924.F05	SC249411	PC04924	F	5	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249419.PC04924.F06	SC249419	PC04924	F	6	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249424.PC04924.B07	SC249424	PC04924	B	7	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249407.PC04924.B05	SC249407	PC04924	B	5	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249418.PC04925.B03	SC249418	PC04925	B	3	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249411.PC04925.G02	SC249411	PC04925	G	2	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249429.PC04925.G03	SC249429	PC04925	G	3	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249424.PC04925.E03	SC249424	PC04925	E	3	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC261526.PC04925.C11	SC261526	PC04925	C	11	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Residual
SC249414.PC04925.H02	SC249414	PC04925	H	2	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC261527.PC04925.B10	SC261527	PC04925	B	10	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Residual
SC249419.PC04925.C03	SC249419	PC04925	C	3	Study	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249408.PC04924.C05	SC249408	PC04924	C	5	ZymoC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249425.PC04924.C07	SC249425	PC04924	C	7	ZymoC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249412.PC04924.G05	SC249412	PC04924	G	5	ZymoC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC249420.PC04924.G06	SC249420	PC04924	G	6	ZymoC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	2	Original
SC249408.PC04925.E02	SC249408	PC04925	E	2	ZymoC	Qiagen	MagAttract.PowerMag.Soil	0	KingFisher	1	Original
SC284724.PC04924.A12	SC284724	PC04924	A	12	ATCC	0	0	MS.1000	0	0	0
SC284730.PC04925.A12	SC284730	PC04925	A	12	ATCC	0	0	MS.1000	0	0	0
SC284725.PC04924.B12	SC284725	PC04924	B	12	ATCC	0	0	MS.1001	0	0	0
SC284731.PC04925.B12	SC284731	PC04925	B	12	ATCC	0	0	MS.1001	0	0	0
SC284726.PC04924.C12	SC284726	PC04924	C	12	ATCC	0	0	MS.1002	0	0	0
SC284732.PC04925.C12	SC284732	PC04925	C	12	ATCC	0	0	MS.1002	0	0	0
SC284727.PC04924.D12	SC284727	PC04924	D	12	ATCC	0	0	MS.1003	0	0	0
SC284733.PC04925.D12	SC284733	PC04925	D	12	ATCC	0	0	MS.1003	0	0	0
SC249358.PC04924.A01	SC249358	PC04924	A	1	AC	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC249363.PC04924.F01	SC249363	PC04924	F	1	AC	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC249365.PC04924.H01	SC249365	PC04924	H	1	RG	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC249360.PC04924.C01	SC249360	PC04924	C	1	RG	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC249368.PC04924.B02	SC249368	PC04924	B	2	ZymoC	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC249362.PC04924.E01	SC249362	PC04924	E	1	ZymoC	CGR	Qiagen.DSP.Virus	0	QIASymphony	2	Original
SC253848.PC04924.C11	SC253848	PC04924	C	11	AC	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253851.PC04924.E11	SC253851	PC04924	E	11	AC	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253845.PC04924.H10	SC253845	PC04924	H	10	RG	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253846.PC04924.A11	SC253846	PC04924	A	11	RG	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253846.PC04925.D09	SC253846	PC04925	D	9	RG	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253844.PC04924.G10	SC253844	PC04924	G	10	ZymoC	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253854.PC04924.H11	SC253854	PC04924	H	11	ZymoC	Qiagen	Qiagen.DSP.Virus	0	QIASymphony	1	Original
SC253185.PC04925.C06	SC253185	PC04925	C	6	AC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253192.PC04925.B07	SC253192	PC04925	B	7	AC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253204.PC04925.A09	SC253204	PC04925	A	9	AC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
